iteration,batch_size,station_count,timestamp,gen_duration_sec,gen_memory_increase_mb,gen_peak_memory_mb,gen_cpu_percent,proc_duration_sec,proc_memory_increase_mb,proc_peak_memory_mb,proc_cpu_percent,total_duration_sec,total_data_records,total_summary_records,throughput_records_per_sec
1,20,5,2025-11-19 01:24:34,9.038916826248169,-3.171875,0.006961822509765625,0.2,4.559340953826904,0.09375,0.009874343872070312,0.1,13.598257780075073,20,1,2.2126545010262593
2,20,5,2025-11-19 01:24:54,8.312455892562866,-2.53125,0.002735137939453125,0.1,4.025547027587891,1.390625,0.009340286254882812,0.1,12.338002920150757,20,1,2.4060278043573082
3,20,5,2025-11-19 01:25:14,8.40015172958374,-0.65625,0.002735137939453125,0.1,4.3013927936553955,0.390625,0.009340286254882812,0.1,12.701544523239136,20,1,2.3809093744775818
1,50,8,2025-11-19 01:25:43,18.15607786178589,-3.1875,0.00916290283203125,0.1,4.364688158035278,1.625,0.016317367553710938,0.1,22.520766019821167,50,1,2.7538987429238664
2,50,8,2025-11-19 01:26:15,18.70736002922058,-0.53125,0.00586700439453125,0.0,6.024340867996216,0.40625,0.016317367553710938,0.0,24.731700897216797,50,1,2.672744840634961
3,50,8,2025-11-19 01:26:45,18.101744890213013,-4.78125,0.00586700439453125,0.1,4.84305477142334,0.734375,0.016317367553710938,0.1,22.944799661636353,50,1,2.7621646588906064
1,100,10,2025-11-19 01:27:33,35.36005973815918,-5.5625,0.01669788360595703,0.1,6.421158790588379,3.0625,0.029435157775878906,0.1,41.78121852874756,100,1,2.8280495208576797
2,100,10,2025-11-19 01:28:24,37.10116004943848,-8.875,0.012510299682617188,0.1,5.057032823562622,4.203125,0.029443740844726562,0.1,42.1581928730011,100,1,2.6953335115868833
3,100,10,2025-11-19 01:29:12,34.557639837265015,-6.234375,0.012505531311035156,0.2,4.475344896316528,1.109375,0.02943897247314453,0.1,39.03298473358154,100,1,2.893716135445269
1,200,15,2025-11-19 01:30:25,60.73210430145264,-12.0625,0.034064292907714844,0.1,4.382493257522583,6.34375,0.05557537078857422,0.1,65.11459755897522,200,1,3.293151164452839
2,200,15,2025-11-19 01:31:40,63.666951179504395,-7.75,0.025671958923339844,0.2,4.243387937545776,4.0625,0.05557537078857422,0.1,67.91033911705017,200,1,3.1413472185296634
